date,export_value,import_value,trade_balance
2020-01-02,7.6,16.3,467.9
2020-01-03,7.6,16.3,467.9
2020-01-06,7.6,16.3,467.9
2020-01-07,7.6,16.3,467.9
2020-01-08,7.6,16.3,467.9
2020-01-09,7.6,16.3,467.9
2020-01-10,7.6,16.3,467.9
2020-01-13,7.6,16.3,467.9
2020-01-14,7.6,16.3,467.9
2020-01-15,7.6,16.3,467.9
2020-01-16,7.6,16.3,467.9
2020-01-17,7.6,16.3,467.9
2020-01-20,7.6,16.3,467.9
2020-01-21,7.6,16.3,467.9
2020-01-22,7.6,16.3,467.9
2020-01-23,7.6,16.3,467.9
2020-02-03,-4.799999999999999,-1.5,391.6
2020-02-04,-4.799999999999999,-1.5,391.6
2020-02-05,-4.799999999999999,-1.5,391.6
2020-02-06,-4.799999999999999,-1.5,391.6
2020-02-07,-4.799999999999999,-1.5,391.6
2020-02-10,-4.799999999999999,-1.5,391.6
2020-02-11,-4.799999999999999,-1.5,391.6
2020-02-12,-4.799999999999999,-1.5,391.6
2020-02-13,-4.799999999999999,-1.5,391.6
2020-02-14,-4.799999999999999,-1.5,391.6
2020-02-17,-4.799999999999999,-1.5,391.6
2020-02-18,-4.799999999999999,-1.5,391.6
2020-02-19,-4.799999999999999,-1.5,391.6
2020-02-20,-4.799999999999999,-1.5,391.6
2020-02-21,-4.799999999999999,-1.5,391.6
2020-02-24,-4.799999999999999,-1.5,391.6
2020-02-25,-4.799999999999999,-1.5,391.6
2020-02-26,-4.799999999999999,-1.5,391.6
2020-02-27,-4.799999999999999,-1.5,391.6
2020-02-28,-4.799999999999999,-1.5,391.6
2020-03-02,-17.2,-4.0,-70.9
2020-03-03,-17.2,-4.0,-70.9
2020-03-04,-17.2,-4.0,-70.9
2020-03-05,-17.2,-4.0,-70.9
2020-03-06,-17.2,-4.0,-70.9
2020-03-09,-17.2,-4.0,-70.9
2020-03-10,-17.2,-4.0,-70.9
2020-03-11,-17.2,-4.0,-70.9
2020-03-12,-17.2,-4.0,-70.9
2020-03-13,-17.2,-4.0,-70.9
