date,export_value
2020-01-01,7.6
2020-02-01,-4.799999999999999
2020-03-01,-17.2
2020-04-01,-6.6
2020-05-01,3.5
2020-06-01,-3.3
2020-07-01,0.5
2020-08-01,7.2
2020-09-01,9.5
2020-10-01,9.9
2020-11-01,11.4
2020-12-01,21.1
2021-01-01,18.1
2021-02-01,39.35
2021-03-01,60.6
2021-04-01,30.6
2021-05-01,32.3
2021-06-01,27.9
2021-07-01,32.2
2021-08-01,19.3
2021-09-01,25.6
2021-10-01,28.1
2021-11-01,27.1
2021-12-01,22.0
2022-01-01,20.9
2022-02-01,18.6
2022-03-01,16.3
2022-04-01,14.7
2022-05-01,3.9
2022-06-01,16.9
2022-07-01,17.9
2022-08-01,18.0
2022-09-01,7.1
2022-10-01,5.7
2022-11-01,-0.3
2022-12-01,-8.7
2023-01-01,-9.9
2023-02-01,-8.35
2023-03-01,-6.8
2023-04-01,14.8
2023-05-01,8.5
2023-06-01,-7.5
2023-07-01,-12.4
2023-08-01,-14.5
2023-09-01,-8.8
2023-10-01,-6.2
2023-11-01,-6.4
2023-12-01,0.5
2024-01-01,2.3
2024-02-01,4.699999999999999
2024-03-01,7.1
2024-04-01,-7.5
2024-05-01,1.5
2024-06-01,7.6
2024-07-01,8.6
2024-08-01,7.0
2024-09-01,8.7
2024-10-01,2.4
2024-11-01,12.7
2024-12-01,6.7
2025-01-01,10.7
2025-02-01,6.5
2025-03-01,2.3
2025-04-01,12.4
2025-05-01,8.1
2025-06-01,4.8
2025-07-01,5.8
2025-08-01,7.2
2025-09-01,7.2
2025-10-01,7.2
2025-11-01,7.2
2025-12-01,7.2
