date,trade_balance
2020-01-01,467.9
2020-02-01,391.6
2020-03-01,-70.9
2020-04-01,199.3
2020-05-01,453.4
2020-06-01,629.3
2020-07-01,464.2
2020-08-01,623.3
2020-09-01,589.3
2020-10-01,370.0
2020-11-01,584.4
2020-12-01,754.2
2021-01-01,781.7
2021-02-01,907.1
2021-03-01,1032.5
2021-04-01,138.0
2021-05-01,428.6
2021-06-01,455.3
2021-07-01,515.3
2021-08-01,565.8
2021-09-01,583.4
2021-10-01,667.6
2021-11-01,845.4
2021-12-01,717.2
2022-01-01,944.6
2022-02-01,1052.05
2022-03-01,1159.5
2022-04-01,473.8
2022-05-01,511.2
2022-06-01,787.6
2022-07-01,979.4
2022-08-01,1012.6
2022-09-01,793.9
2022-10-01,847.4
2022-11-01,851.5
2022-12-01,698.4
2023-01-01,780.0
2023-02-01,974.4
2023-03-01,1168.8
2023-04-01,881.9
2023-05-01,902.1
2023-06-01,658.1
2023-07-01,706.2
2023-08-01,806.0
2023-09-01,683.6
2023-10-01,777.1
2023-11-01,565.3
2023-12-01,683.9
2024-01-01,753.4
2024-02-01,1002.5
2024-03-01,1251.6
2024-04-01,585.5
2024-05-01,723.5
2024-06-01,826.2
2024-07-01,990.5
2024-08-01,846.5
2024-09-01,910.2
2024-10-01,817.1
2024-11-01,952.7
2024-12-01,974.4
2025-01-01,1048.4
2025-02-01,1376.8000000000002
2025-03-01,1705.2
2025-04-01,1026.4
2025-05-01,961.8
2025-06-01,1032.2
2025-07-01,1147.7
2025-08-01,982.4
2025-09-01,982.4
2025-10-01,982.4
2025-11-01,982.4
2025-12-01,982.4
